time;Y
00:00,0;0,449647
00:00,0;0,453277
00:00,0;0,457359
00:00,0;0,461879
00:00,0;0,466821
00:00,0;0,47217
00:00,0;0,477906
00:00,0;0,484012
00:00,0;0,490466
00:00,0;0,497247
00:00,0;0,504333
00:00,0;0,5117
00:00,0;0,519324
00:00,0;0,527179
00:00,0;0,53524
00:00,0;0,543479
00:00,0;0,551869
00:00,0;0,560382
00:00,0;0,568991
00:00,0;0,577666
00:00,0;0,586379
00:00,0;0,595101
00:00,0;0,603803
00:00,0;0,612456
00:00,0;0,621032
00:00,0;0,629502
00:00,0;0,637838
00:00,0;0,646013
00:00,0;0,653998
00:00,0;0,661768
00:00,0;0,669297
00:00,0;0,67656
00:00,0;0,683533
00:00,0;0,690192
00:00,0;0,696515
00:00,0;0,702481
00:00,0;0,70807
00:00,0;0,713264
00:00,0;0,718045
00:00,0;0,722396
00:00,0;0,726304
00:00,0;0,729755
00:00,0;0,732737
00:00,0;0,73524
00:00,0;0,737255
00:00,0;0,738776
00:00,0;0,739796
00:00,0;0,740312
00:00,0;0,740322
00:00,0;0,739825
00:00,0;0,738822
00:00,0;0,737316
00:00,0;0,735312
00:00,0;0,732815
00:00,0;0,729833
00:00,0;0,726375
00:00,0;0,722452
00:00,0;0,718076
00:00,0;0,713262
00:00,0;0,708023
00:00,0;0,702377
00:00,0;0,696342
00:00,0;0,689936
00:00,0;0,683181
00:00,0;0,676096
00:00,0;0,668706
00:00,0;0,661034
00:00,0;0,653104
00:00,0;0,644941
00:00,0;0,636571
00:00,0;0,628022
00:00,0;0,61932
00:00,0;0,610494
00:00,0;0,601571
00:00,0;0,59258
00:00,0;0,58355
00:00,0;0,57451
00:00,0;0,565489
00:00,0;0,556515
00:00,0;0,547617
00:00,0;0,538824
00:00,0;0,530164
00:00,0;0,521664
00:00,0;0,513352
00:00,0;0,505253
00:00,0;0,497395
00:00,0;0,489801
00:00,0;0,482497
00:00,0;0,475505
00:00,0;0,468847
00:00,0;0,462546
00:00,0;0,456619
00:00,0;0,451087
00:00,0;0,445967
00:00,0;0,441275
